OCC_CODE,OCC_TITLE,occ_major_group,AIOE,AIOE_z,UAIOE,UAIOE_ev,AIOE_rank,UAIOE_rank,rank_diff,cluster,cluster_label
47-4021,Elevator and Escalator Installers and Repairers,Construction,-0.8604742,-0.8610305949642492,-0.9824474343116224,-1.0810444024899988,478,509,31,0,Low Exposure Manual & Technical
47-4031,Fence Erectors,Construction,-1.902113,-1.903342941852892,-1.4977311151636663,-1.3377537317026638,649,632,-17,4,Low Exposure Routine Service
47-4041,Hazardous Materials Removal Workers,Construction,-0.6887439,-0.6891892503207022,-0.6299804261094084,-0.8824747269444306,433,424,-9,0,Low Exposure Manual & Technical
47-4051,Highway Maintenance Workers,Construction,-1.27909,-1.2799170812804914,-0.9029259550157207,-1.2735357423647033,590,487,-103,0,Low Exposure Manual & Technical
47-4061,Rail-Track Laying and Maintenance Equipment Operators,Construction,-1.39906,-1.3999646565592063,-1.2246522932863295,-1.6620077573966678,605,574,-31,0,Low Exposure Manual & Technical
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,Construction,-1.210591,-1.2113737882987732,-1.4327254700743095,-1.3830427003954688,577,620,43,0,Low Exposure Manual & Technical
47-5011,"Derrick Operators, Oil and Gas",Construction,-1.415002,-1.415916965012097,-1.577916225798299,-1.7419966417697206,609,637,28,0,Low Exposure Manual & Technical
47-5012,"Rotary Drill Operators, Oil and Gas",Construction,-0.7737326,-0.7742329059103508,-0.7897550299605307,-1.1716979089432404,459,458,-1,0,Low Exposure Manual & Technical
47-5013,"Service Unit Operators, Oil and Gas",Construction,-0.971916,-0.9725444557185672,-0.8348854144778203,-1.5206852393392498,515,469,-46,0,Low Exposure Manual & Technical
47-5041,Continuous Mining Machine Operators,Construction,-1.165492,-1.1662456262791452,-1.6747296502239193,-1.704381975406876,565,647,82,0,Low Exposure Manual & Technical
47-5051,"Rock Splitters, Quarry",Construction,-1.763494,-1.764634307714689,-1.7610436163717194,-1.280501349234578,640,652,12,4,Low Exposure Routine Service
47-5071,"Roustabouts, Oil and Gas",Construction,-1.518977,-1.519959197566939,-1.3413937351471816,-1.5345504618371022,616,600,-16,0,Low Exposure Manual & Technical
47-5081,Helpers--Extraction Workers,Construction,-1.543154,-1.544151830954565,-1.300728728134895,-1.8655881534963656,618,591,-27,0,Low Exposure Manual & Technical
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",Installation & Repair,-0.0205169,-0.0205301598333306,0.01918043612246675,-0.570278434126354,309,329,20,1,Moderate Exposure Service & Healthcare
49-2011,"Computer, Automated Teller, and Office Machine Repairers",Installation & Repair,-0.3458247,-0.3460483111149277,-0.6138653443598397,-0.458808645086306,361,420,59,4,Low Exposure Routine Service
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",Installation & Repair,-0.6335382,-0.6339478530833582,-0.5067244649529249,-0.987512230410122,424,401,-23,0,Low Exposure Manual & Technical
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Installation & Repair,-0.853048,-0.8535995930176393,-0.5722181977662514,-0.9524174441152584,475,412,-63,0,Low Exposure Manual & Technical
49-2091,Avionics Technicians,Installation & Repair,-0.1728535,-0.1729652640777543,-0.1721335727343622,-0.36274035053032505,330,356,26,1,Moderate Exposure Service & Healthcare
49-2092,"Electric Motor, Power Tool, and Related Repairers",Installation & Repair,-0.8106341,-0.81115826724358,-0.7985282515452636,-1.226158339826962,464,460,-4,0,Low Exposure Manual & Technical
