OCC_CODE,OCC_TITLE,occ_major_group,AIOE,AIOE_z,UAIOE,UAIOE_ev,AIOE_rank,UAIOE_rank,rank_diff,cluster,cluster_label
29-1124,Radiation Therapists,Healthcare Practitioners,-0.2189393,-0.2190808641842794,-0.06593450620289344,-0.48893259634008385,343,341,-2,1,Moderate Exposure Service & Healthcare
29-1125,Recreational Therapists,Healthcare Practitioners,0.2190109,0.2191525241863828,0.2700026688499227,0.04011228437777362,273,282,9,1,Moderate Exposure Service & Healthcare
29-1126,Respiratory Therapists,Healthcare Practitioners,-0.1880507,-0.1881722909263472,-0.013412060471942691,-0.3244553747373928,336,335,-1,1,Moderate Exposure Service & Healthcare
29-1127,Speech-Language Pathologists,Healthcare Practitioners,1.146267,1.1470082086691518,1.3602277807597416,1.2854917295254327,132,54,-78,3,Highest Exposure Knowledge & Management
29-1128,Exercise Physiologists,Healthcare Practitioners,-0.0331901,-0.0332115546072092,0.5134573513848026,0.33194036118421405,312,244,-68,1,Moderate Exposure Service & Healthcare
29-1131,Veterinarians,Healthcare Practitioners,-0.0749958,-0.0750442871055786,0.462875554166759,0.26018240201913095,317,252,-65,1,Moderate Exposure Service & Healthcare
29-1141,Registered Nurses,Healthcare Practitioners,0.2294097,0.229558048282476,0.8175240053571943,0.3577352854242672,270,184,-86,1,Moderate Exposure Service & Healthcare
29-1151,Nurse Anesthetists,Healthcare Practitioners,0.2413191,0.241475149166233,0.6672113988255605,-0.04173091272042122,268,218,-50,1,Moderate Exposure Service & Healthcare
29-1161,Nurse Midwives,Healthcare Practitioners,0.1966265,0.1967536499339124,0.9192737167362958,0.41258133258621027,275,163,-112,1,Moderate Exposure Service & Healthcare
29-1171,Nurse Practitioners,Healthcare Practitioners,0.1900572,0.1901801020779612,0.9085632953244017,0.4606640953182288,276,166,-110,1,Moderate Exposure Service & Healthcare
29-1181,Audiologists,Healthcare Practitioners,0.6329063,0.6333155581866655,0.9859294279931466,0.5018752040213795,225,151,-74,1,Moderate Exposure Service & Healthcare
29-2031,Cardiovascular Technologists and Technicians,Healthcare Practitioners,-0.0909526,-0.0910114051284793,0.003459040155513991,-0.06872161713978794,320,332,12,1,Moderate Exposure Service & Healthcare
29-2032,Diagnostic Medical Sonographers,Healthcare Practitioners,-0.264054,-0.2642247363558777,0.0069407976417905455,-0.17033675818678667,350,331,-19,1,Moderate Exposure Service & Healthcare
29-2033,Nuclear Medicine Technologists,Healthcare Practitioners,0.0855276,0.0855829109063851,0.27311425573896964,0.12817283140634375,290,281,-9,1,Moderate Exposure Service & Healthcare
29-2034,Radiologic Technologists and Technicians,Healthcare Practitioners,-0.5559037,-0.5562631528835131,-0.41556404027906263,-0.45963962834893274,406,385,-21,1,Moderate Exposure Service & Healthcare
29-2035,Magnetic Resonance Imaging Technologists,Healthcare Practitioners,-0.0727627,-0.0728097431332947,0.05548286516365349,-0.1694955174788071,316,324,8,1,Moderate Exposure Service & Healthcare
29-2051,Dietetic Technicians,Healthcare Practitioners,-0.1260282,-0.1261096857940299,0.19560089727507413,-0.11510707887642238,325,294,-31,1,Moderate Exposure Service & Healthcare
29-2052,Pharmacy Technicians,Healthcare Practitioners,0.0070256,0.0070301497616848,0.3345080779402293,0.27732799815931614,306,271,-35,1,Moderate Exposure Service & Healthcare
29-2053,Psychiatric Technicians,Healthcare Practitioners,-0.2203484,-0.2204908753397786,0.11682071416976761,0.21312713676295894,344,312,-32,1,Moderate Exposure Service & Healthcare
29-2055,Surgical Technologists,Healthcare Practitioners,-0.4830476,-0.4833599425037216,-0.23683055193485664,-0.5123603138521451,387,362,-25,1,Moderate Exposure Service & Healthcare
29-2056,Veterinary Technologists and Technicians,Healthcare Practitioners,-0.3623179,-0.3625521759860364,0.05707387966843692,-0.2835144042379511,365,323,-42,1,Moderate Exposure Service & Healthcare
29-2057,Ophthalmic Medical Technicians,Healthcare Practitioners,0.078734,0.0787849180130495,0.31356270485031046,0.46009061638110754,292,273,-19,2,High Exposure Analytical & Office
29-2061,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners,-0.5137373,-0.5140694871484759,0.18556212393807692,-0.13700202332910774,394,300,-94,1,Moderate Exposure Service & Healthcare
29-2081,"Opticians, Dispensing",Healthcare Practitioners,0.1013966,0.1014621721558469,0.7043761327203875,0.2738559486463949,288,210,-78,1,Moderate Exposure Service & Healthcare
29-2091,Orthotists and Prosthetists,Healthcare Practitioners,0.066577,0.0666200570256081,0.35275872299503375,-0.0317814981034666,295,270,-25,1,Moderate Exposure Service & Healthcare
29-2092,Hearing Aid Specialists,Healthcare Practitioners,0.5648953,0.5652605807566355,0.4308224416243195,0.39872739168785154,234,258,24,1,Moderate Exposure Service & Healthcare
29-9091,Athletic Trainers,Healthcare Practitioners,-0.3311363,-0.3313504132677669,0.0662881001621433,-0.0037924149349617487,359,322,-37,1,Moderate Exposure Service & Healthcare
29-9092,Genetic Counselors,Healthcare Practitioners,1.527667,1.5286548304187724,1.4814731555869378,1.6926840512107684,1,35,34,2,High Exposure Analytical & Office
31-2011,Occupational Therapy Assistants,Healthcare Support,-0.3153762,-0.3155801224354749,0.2400080157500512,-0.006034566999553518,358,288,-70,1,Moderate Exposure Service & Healthcare
31-2012,Occupational Therapy Aides,Healthcare Support,-0.7734322,-0.7739323116650084,-0.03531351900217134,-0.20755898286902533,457,337,-120,1,Moderate Exposure Service & Healthcare
31-2021,Physical Therapist Assistants,Healthcare Support,-0.5308535,-0.5311967548652847,0.13124613403320678,-0.12897395679499057,401,311,-90,1,Moderate Exposure Service & Healthcare
31-2022,Physical Therapist Aides,Healthcare Support,-0.8823265,-0.8828970251489877,-0.2170024386672032,-0.1424128752728115,487,360,-127,1,Moderate Exposure Service & Healthcare
31-9011,Massage Therapists,Healthcare Support,-1.410233,-1.4111448812702934,-0.5283587322259753,-0.16049985561710625,606,402,-204,4,Low Exposure Routine Service
31-9091,Dental Assistants,Healthcare Support,-0.5268759,-0.5272165828603783,0.07814673757528046,-0.16255935283624176,399,320,-79,1,Moderate Exposure Service & Healthcare
31-9092,Medical Assistants,Healthcare Support,0.1497917,0.149888565507276,0.5511354451924636,0.16563026111348217,281,241,-40,1,Moderate Exposure Service & Healthcare
31-9093,Medical Equipment Preparers,Healthcare Support,-0.7308648,-0.7313373866344243,-0.5395185012777169,-0.7403886678747008,445,404,-41,0,Low Exposure Manual & Technical
31-9094,Medical Transcriptionists,Healthcare Support,1.06259,1.0632771012539892,0.4686589773675024,1.1066732171231055,150,251,101,2,High Exposure Analytical & Office
31-9095,Pharmacy Aides,Healthcare Support,-0.1552654,-0.1553657912198768,0.1341860826930737,0.07443064109177289,327,309,-18,1,Moderate Exposure Service & Healthcare
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,Healthcare Support,-0.7735824,-0.7740826087876796,-0.2520421738529748,-0.3026606704691158,458,364,-94,1,Moderate Exposure Service & Healthcare
31-9097,Phlebotomists,Healthcare Support,-0.2778475,-0.2780271555407319,0.19343429538468898,-0.03167679673113136,354,296,-58,1,Moderate Exposure Service & Healthcare
31-9099,Speech-Language Pathology Assistants,Healthcare Support,0.1660077,0.1661150511346799,0.2858880720658144,0.2696114020123333,279,278,-1,1,Moderate Exposure Service & Healthcare
33-1011,First-Line Supervisors of Correctional Officers,Protective Service,-0.5584278,-0.5587888850228897,0.020336701788507626,-0.5042574913996123,408,328,-80,1,Moderate Exposure Service & Healthcare
33-1012,First-Line Supervisors of Police and Detectives,Protective Service,-0.1923298,-0.1924541578878805,0.29155669465094564,-0.3441556342173116,339,277,-62,1,Moderate Exposure Service & Healthcare
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Protective Service,-0.593021,-0.5934044537578372,-0.1550141773828739,-1.0806606805521066,414,354,-60,1,Moderate Exposure Service & Healthcare
33-2011,Firefighters,Protective Service,-1.320232,-1.3210856846156327,-1.0353124971962488,-1.7106291719899773,595,525,-70,0,Low Exposure Manual & Technical
33-2021,Fire Inspectors and Investigators,Protective Service,0.062793,0.0628336102067813,0.19431842294443133,-0.2046860104448139,297,295,-2,1,Moderate Exposure Service & Healthcare
33-2022,Forest Fire Inspectors and Prevention Specialists,Protective Service,-0.2144127,-0.214551337183724,-0.09986874027445687,-0.5494357558054794,342,348,6,1,Moderate Exposure Service & Healthcare
33-3011,Bailiffs,Protective Service,-0.5103183,-0.5106482763467928,-0.13255204144694963,-0.18816997330903126,392,351,-41,1,Moderate Exposure Service & Healthcare
33-3012,Correctional Officers and Jailers,Protective Service,-0.8875365,-0.8881103940512307,-0.4282742668156838,-0.8580820710914673,491,386,-105,1,Moderate Exposure Service & Healthcare
33-3021,Detectives and Criminal Investigators,Protective Service,0.2257696,0.2259155945125998,0.6515959179641544,0.425739200097953,272,221,-51,1,Moderate Exposure Service & Healthcare
33-3031,Fish and Game Wardens,Protective Service,-0.4585168,-0.4588132803411217,-0.09434078282597866,-0.5426597856538191,380,346,-34,1,Moderate Exposure Service & Healthcare
33-3041,Parking Enforcement Workers,Protective Service,-0.6239931,-0.6243965810087323,-0.4945669732307024,-0.6551391439093419,422,399,-23,0,Low Exposure Manual & Technical
33-3051,Police and Sheriff's Patrol Officers,Protective Service,-0.6681123,-0.6685443094678195,0.010264636108122038,-0.5105391584227675,430,330,-100,1,Moderate Exposure Service & Healthcare
33-3052,Transit and Railroad Police,Protective Service,-0.8205515,-0.8210820800556924,-0.27594182916682025,-0.8407421138556929,467,366,-101,1,Moderate Exposure Service & Healthcare
33-9011,Animal Control Workers,Protective Service,-0.5946321,-0.5950165955310434,-0.09910775239058338,-0.31784389535638935,416,347,-69,1,Moderate Exposure Service & Healthcare
33-9021,Private Detectives and Investigators,Protective Service,0.7483108,0.7487946813112174,0.5831811669404149,0.5366676353215675,210,232,22,1,Moderate Exposure Service & Healthcare
33-9031,Gambling Surveillance Officers and Gambling Investigators,Protective Service,0.7283933,0.7288643022113273,0.4368216988034993,0.3766788892133963,212,256,44,1,Moderate Exposure Service & Healthcare
33-9032,Security Guards,Protective Service,-0.3908421,-0.3910948203701751,-0.02979870526782316,-0.5196895763697373,373,336,-37,1,Moderate Exposure Service & Healthcare
33-9091,Crossing Guards and Flaggers,Protective Service,-0.5699511,-0.5703196362457723,-0.987735912968929,-0.2723808391030113,410,514,104,4,Low Exposure Routine Service
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Protective Service,-0.4718385,-0.4721435944495693,-0.665143352155093,-0.5846232679934962,384,431,47,0,Low Exposure Manual & Technical
33-9093,Transportation Security Screeners,Protective Service,-0.5068558,-0.507183537417039,-0.6024915754236482,-0.5929248915182237,391,417,26,0,Low Exposure Manual & Technical
35-1011,Chefs and Head Cooks,Food Preparation,-0.2676433,-0.2678163572773405,-0.0008568999840595281,-0.41742918031924264,351,333,-18,1,Moderate Exposure Service & Healthcare
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation,-0.2575492,-0.2577157302070655,0.1453584050588114,-0.12829834613644522,348,306,-42,1,Moderate Exposure Service & Healthcare
35-2011,"Cooks, Fast Food",Food Preparation,-0.7131837,-0.7136448536406718,-0.7771968671713666,-0.007149757861686757,437,456,19,4,Low Exposure Routine Service
35-2012,"Cooks, Institution and Cafeteria",Food Preparation,-0.6360813,-0.6364925975085587,-0.45165133108983524,-0.3329540208078089,425,391,-34,4,Low Exposure Routine Service
35-2013,"Cooks, Private Household",Food Preparation,-0.7867444,-0.7872531196305441,-0.5469550728576185,-0.26189746405866954,461,406,-55,4,Low Exposure Routine Service
35-2014,"Cooks, Restaurant",Food Preparation,-0.7418264,-0.7423060746495544,-1.3732261836812492,-0.5588967599259207,447,609,162,4,Low Exposure Routine Service
35-2015,"Cooks, Short Order",Food Preparation,-0.5933817,-0.593765386994505,-0.8966540223775465,-0.36619553532750493,415,484,69,4,Low Exposure Routine Service
35-2021,Food Preparation Workers,Food Preparation,-1.226416,-1.2272090210968534,-0.9112799920860724,-0.2695855459434986,583,489,-94,4,Low Exposure Routine Service
35-3011,Bartenders,Food Preparation,-0.6159883,-0.616386604926453,-0.21883003318239705,-0.27778753933595113,421,361,-60,1,Moderate Exposure Service & Healthcare
35-3031,Waiters and Waitresses,Food Preparation,-0.9481003,-0.9487133559555824,-0.6427242311645974,-0.2142824730041109,504,426,-78,4,Low Exposure Routine Service
35-3041,"Food Servers, Nonrestaurant",Food Preparation,-0.7270206,-0.7274907008889343,-0.48223456572712087,-0.1657629871772048,441,397,-44,4,Low Exposure Routine Service
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation,-1.927078,-1.9283240847789,-0.8700632678895962,-0.4859921291134937,650,477,-173,4,Low Exposure Routine Service
35-9021,Dishwashers,Food Preparation,-1.738612,-1.7397362184583336,-1.4782255201285714,-0.7130327336672404,634,628,-6,4,Low Exposure Routine Service
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation,-0.0565477,-0.0565842581525131,-0.338431400140541,0.15636131447168367,315,372,57,4,Low Exposure Routine Service
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,Building & Grounds,-0.5854128,-0.5857913341259665,0.09029123920465855,-0.2700545516395611,412,318,-94,1,Moderate Exposure Service & Healthcare
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building & Grounds,-0.5548871,-0.5552458955272712,-0.2970161808620293,-0.8762907069376851,405,370,-35,1,Moderate Exposure Service & Healthcare
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building & Grounds,-1.436201,-1.4371296727584792,-0.808009920010384,-0.5740374840941543,611,462,-149,4,Low Exposure Routine Service
37-2012,Maids and Housekeeping Cleaners,Building & Grounds,-1.480657,-1.4816144189999607,-1.0843732743718966,-0.4041402227532169,613,537,-76,4,Low Exposure Routine Service
37-2021,Pest Control Workers,Building & Grounds,-0.7255374,-0.7260065418187218,-0.5032021286302473,-0.7840994233742115,440,400,-40,0,Low Exposure Manual & Technical
37-3011,Landscaping and Groundskeeping Workers,Building & Grounds,-1.824293,-1.825472621704608,-1.647854824935389,-1.2111518118257836,646,644,-2,4,Low Exposure Routine Service
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Building & Grounds,-0.8847935,-0.8853656203662302,-0.7422863733295807,-0.850252384848045,488,451,-37,0,Low Exposure Manual & Technical
37-3013,Tree Trimmers and Pruners,Building & Grounds,-1.727035,-1.728151732511833,-1.759443339332515,-1.794345814171586,632,651,19,0,Low Exposure Manual & Technical
39-2011,Animal Trainers,Personal Care,-0.9167759,-0.9173687008996468,-0.44275801943472426,-0.6077056562365861,497,388,-109,0,Low Exposure Manual & Technical
39-2021,Animal Caretakers,Personal Care,-0.8890408,-0.889615666765174,-0.41402744863719987,-0.15049941393717792,492,384,-108,4,Low Exposure Routine Service
39-3011,Gambling Dealers,Personal Care,0.0605832,0.0606223813007972,-0.5588896638338864,0.17204309042034036,298,408,110,4,Low Exposure Routine Service
39-3012,Gambling and Sports Book Writers and Runners,Personal Care,0.4652752,0.4655760641772979,-0.06369027795828316,0.4043242360533768,249,340,91,4,Low Exposure Routine Service
39-3021,Motion Picture Projectionists,Personal Care,-0.3786598,-0.3789046430231892,-0.9765073090148222,-0.5008356873596842,368,505,137,4,Low Exposure Routine Service
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",Personal Care,-0.2420959,-0.2422524377584987,-0.562368795797394,0.03844860220707385,345,409,64,4,Low Exposure Routine Service
39-3091,Amusement and Recreation Attendants,Personal Care,-0.5246153,-0.5249545211059808,-0.35877001153409904,0.061866998717462256,397,375,-22,4,Low Exposure Routine Service
39-3092,Costume Attendants,Personal Care,-0.4533608,-0.4536539463564834,-0.28966423468745034,-0.08562310265448936,379,368,-11,4,Low Exposure Routine Service
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",Personal Care,-0.3454376,-0.3456609608074309,-0.6246722077615746,0.35749518533280655,360,422,62,4,Low Exposure Routine Service
39-4011,Embalmers,Personal Care,-0.7311451,-0.7316178678826581,-0.4504103643810628,-0.4905827221306262,446,390,-56,0,Low Exposure Manual & Technical
39-4021,Funeral Attendants,Personal Care,-0.5445412,-0.5448933056374983,-0.6530216732491642,-0.15250565445898107,403,428,25,4,Low Exposure Routine Service
39-4031,"Morticians, Undertakers, and Funeral Arrangers",Personal Care,-0.1903759,-0.190498994452546,0.1391411967553968,-0.18867172754686423,337,307,-30,1,Moderate Exposure Service & Healthcare
39-5011,Barbers,Personal Care,-0.7294621,-0.7299337796173079,-0.8102326818376165,-0.28481954723235076,444,463,19,4,Low Exposure Routine Service
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care,-0.6824517,-0.6828929816437936,0.041529743962004595,-0.08128874026696235,432,327,-105,1,Moderate Exposure Service & Healthcare
39-5091,"Makeup Artists, Theatrical and Performance",Personal Care,-0.4596138,-0.4599109896857974,0.13594786106021514,-0.12351704805951254,381,308,-73,1,Moderate Exposure Service & Healthcare
39-5092,Manicurists and Pedicurists,Personal Care,0.0335124,0.0335340767175261,-0.7114298899009297,0.20421183970500023,303,438,135,4,Low Exposure Routine Service
39-5093,Shampooers,Personal Care,-0.905371,-0.905956426236846,-0.4787646700430202,0.05172116462946816,495,396,-99,4,Low Exposure Routine Service
39-5094,Skincare Specialists,Personal Care,-0.2628396,-0.2630095510977426,0.2604463975161912,0.08610379398159285,349,285,-64,1,Moderate Exposure Service & Healthcare
39-6011,Baggage Porters and Bellhops,Personal Care,-1.272015,-1.2728375064276372,-0.7341229808616909,-0.8031245718950775,589,445,-144,0,Low Exposure Manual & Technical
39-6012,Concierges,Personal Care,0.855832,0.8563854069181006,0.8565153663230116,0.9681531501516333,194,178,-16,2,High Exposure Analytical & Office
39-9011,Childcare Workers,Personal Care,-0.3834794,-0.383727359484082,-0.24888218583832544,-0.08634575281009256,371,363,-8,4,Low Exposure Routine Service
39-9031,Exercise Trainers and Group Fitness Instructors,Personal Care,-2.111948,-2.1133136258456338,-0.7399412067324019,-0.5980913677186293,655,450,-205,4,Low Exposure Routine Service
39-9032,Recreation Workers,Personal Care,-0.2441154,-0.2442732436122569,0.5159329975390399,0.15849032616830852,346,243,-103,1,Moderate Exposure Service & Healthcare
39-9041,Residential Advisors,Personal Care,0.4746119,0.474918801495834,0.40953957735133145,0.3406822911484804,246,262,16,1,Moderate Exposure Service & Healthcare
41-1011,First-Line Supervisors of Retail Sales Workers,Sales,0.0191826,0.0191950107491262,0.3851103754363844,0.34908409791493683,305,265,-40,1,Moderate Exposure Service & Healthcare
41-1012,First-Line Supervisors of Non-Retail Sales Workers,Sales,1.316195,1.3170460879053068,1.2747234015381483,1.0926630150071832,79,85,6,3,Highest Exposure Knowledge & Management
41-2011,Cashiers,Sales,-0.2480887,-0.2482491128366873,-0.48994833478040734,0.23411031106320435,347,398,51,4,Low Exposure Routine Service
41-2012,Gambling Change Persons and Booth Cashiers,Sales,-0.0500926,-0.0501249841408299,-0.1439436240911255,-0.021603444757900575,313,352,39,1,Moderate Exposure Service & Healthcare
41-2021,Counter and Rental Clerks,Sales,0.0784367,0.0784874257722363,-0.11171739830382403,0.035263904848023477,293,350,57,4,Low Exposure Routine Service
41-2022,Parts Salespersons,Sales,-0.1184909,-0.1185675120076811,0.2965231849748666,-0.01609898223272598,322,276,-46,1,Moderate Exposure Service & Healthcare
41-2031,Retail Salespersons,Sales,0.0873069,0.0873633614414641,0.15658368688399724,0.3754930701500136,289,305,16,2,High Exposure Analytical & Office
41-3011,Advertising Sales Agents,Sales,1.162588,1.1633397621918984,0.9984112692687852,1.0828119755386796,127,149,22,2,High Exposure Analytical & Office
41-3021,Insurance Sales Agents,Sales,1.341258,1.342125294200301,0.8108269578368726,1.306841221431165,62,187,125,2,High Exposure Analytical & Office
41-3031,"Securities, Commodities, and Financial Services Sales Agents",Sales,1.256298,1.2571103571687126,1.1140619328464911,1.3976392014599777,106,115,9,2,High Exposure Analytical & Office
41-3041,Travel Agents,Sales,1.133598,1.1343310166110872,0.930409883114716,1.2062213186988502,138,162,24,2,High Exposure Analytical & Office
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales,0.8911985,0.8917747756860815,0.776513944308663,1.0998454792510788,187,199,12,2,High Exposure Analytical & Office
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales,0.8224681,0.8229999330759608,0.4937183893970592,0.6166989442256567,202,249,47,2,High Exposure Analytical & Office
41-9011,Demonstrators and Product Promoters,Sales,0.1235652,0.1236451068672225,0.046355831472323326,0.17620573539763804,283,326,43,4,Low Exposure Routine Service
41-9012,Models,Sales,-1.122021,-1.1227465169606403,-1.1771036240373853,0.09711365423903634,555,564,9,4,Low Exposure Routine Service
41-9021,Real Estate Brokers,Sales,1.149681,1.1504244162377235,0.9188152622351312,1.238566507583135,131,165,34,2,High Exposure Analytical & Office
41-9022,Real Estate Sales Agents,Sales,0.8649445,0.8655037992639144,0.8052788774371219,0.6325338723939149,192,189,-3,3,Highest Exposure Knowledge & Management
41-9031,Sales Engineers,Sales,1.145416,1.1461566583935647,1.23511522184366,1.278296615123338,133,90,-43,3,Highest Exposure Knowledge & Management
41-9041,Telemarketers,Sales,1.118129,1.1188520140105498,0.6918664196487597,1.1648764162025163,143,212,69,2,High Exposure Analytical & Office
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales,1.107101,1.1078168830596982,0.6249458135308164,1.1162286575981608,145,224,79,2,High Exposure Analytical & Office
43-1011,First-Line Supervisors of Office and Administrative Support Workers,Office & Admin Support,1.038688,1.0393596456874992,1.039258131742788,0.894947465077675,157,136,-21,3,Highest Exposure Knowledge & Management
43-2011,"Switchboard Operators, Including Answering Service",Office & Admin Support,0.9832644,0.9839002075511534,0.20195842777035325,1.002867801705521,175,293,118,2,High Exposure Analytical & Office
43-2021,Telephone Operators,Office & Admin Support,1.019712,1.0203713753825152,0.31373963910714553,0.9243264143754495,164,272,108,2,High Exposure Analytical & Office
43-3011,Bill and Account Collectors,Office & Admin Support,1.271991,1.2728135046126476,0.5658274665552976,1.1635056899693386,101,234,133,2,High Exposure Analytical & Office
43-3021,Billing and Posting Clerks,Office & Admin Support,1.333455,1.334317248606404,0.5669522961300213,1.236950001026488,70,233,163,2,High Exposure Analytical & Office
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",Office & Admin Support,1.039749,1.0404213317537716,0.6695977982943965,1.2263647515862708,156,217,61,2,High Exposure Analytical & Office
43-3041,Gambling Cage Workers,Office & Admin Support,0.4026518,0.4029121704896336,0.17478878356856842,0.49384313300092203,253,302,49,2,High Exposure Analytical & Office
43-3051,Payroll and Timekeeping Clerks,Office & Admin Support,1.257632,1.2584452197628764,0.607440064246218,1.251964563302259,105,229,124,2,High Exposure Analytical & Office
43-3061,Procurement Clerks,Office & Admin Support,1.487838,1.488800076098726,0.7889353683726333,1.1627522595701498,6,195,189,2,High Exposure Analytical & Office
43-3071,Tellers,Office & Admin Support,0.4727723,0.4730780119694298,0.43959769554058403,0.49301713280243653,247,255,8,1,Moderate Exposure Service & Healthcare
43-4011,Brokerage Clerks,Office & Admin Support,1.144877,1.145617309864139,0.6661394945959046,1.3120949518589402,134,219,85,2,High Exposure Analytical & Office
43-4021,Correspondence Clerks,Office & Admin Support,1.149758,1.1505014660276416,0.7853211554950094,1.3110297719185848,130,196,66,2,High Exposure Analytical & Office
43-4031,"Court, Municipal, and License Clerks",Office & Admin Support,1.166267,1.1670211411153826,0.6225370678247538,1.0557501119149124,125,225,100,2,High Exposure Analytical & Office
43-4041,"Credit Authorizers, Checkers, and Clerks",Office & Admin Support,1.440296,1.4412273343807909,0.8838316708959518,1.2870829079470651,13,171,158,2,High Exposure Analytical & Office
43-4051,Customer Service Representatives,Office & Admin Support,0.9562519,0.9568702406659628,1.0182369364543349,1.0732675895872021,177,142,-35,2,High Exposure Analytical & Office
43-4061,"Eligibility Interviewers, Government Programs",Office & Admin Support,1.226286,1.2270789507398987,0.9974949665570003,1.4999099594487042,113,150,37,2,High Exposure Analytical & Office
43-4071,File Clerks,Office & Admin Support,0.2839743,0.2841579309702561,0.6858643320218051,0.6338607158188192,267,214,-53,1,Moderate Exposure Service & Healthcare
43-4081,"Hotel, Motel, and Resort Desk Clerks",Office & Admin Support,0.6063127,0.6067047621715614,0.558799477533065,0.7583973122242709,230,238,8,2,High Exposure Analytical & Office
43-4111,"Interviewers, Except Eligibility and Loan",Office & Admin Support,1.297031,1.2978696960353286,1.1008267909627931,1.1611765385472952,87,121,34,3,Highest Exposure Knowledge & Management
43-4121,"Library Assistants, Clerical",Office & Admin Support,0.2038919,0.2040237479036546,0.09468325954454324,0.44452286872317476,274,317,43,2,High Exposure Analytical & Office
43-4131,Loan Interviewers and Clerks,Office & Admin Support,1.364395,1.3652772551007228,1.0419436943424834,1.314666630046141,44,134,90,2,High Exposure Analytical & Office
43-4141,New Accounts Clerks,Office & Admin Support,1.174998,1.1757577867747846,0.6463309646077481,1.075524504102628,124,222,98,2,High Exposure Analytical & Office
43-4151,Order Clerks,Office & Admin Support,0.8388861,0.8394285493210715,0.9459364202036129,0.9417894235627836,197,156,-41,2,High Exposure Analytical & Office
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",Office & Admin Support,1.353098,1.3539729502084694,1.0932185254065798,1.3364270578930566,48,122,74,2,High Exposure Analytical & Office
43-4171,Receptionists and Information Clerks,Office & Admin Support,1.013186,1.0138411555253102,0.5639674573327246,1.027431230411782,167,236,69,2,High Exposure Analytical & Office
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,Office & Admin Support,0.227312,0.2274589918628531,0.43127739624307027,0.4190237187277225,271,257,-14,1,Moderate Exposure Service & Healthcare
43-5011,Cargo and Freight Agents,Office & Admin Support,1.405415,1.4063237795479422,0.24666564792060694,0.23353389811786238,25,287,262,1,Moderate Exposure Service & Healthcare
43-5021,Couriers and Messengers,Office & Admin Support,-0.9591126,-0.9597327767544636,-1.3579566076665637,-0.7514677587620362,508,607,99,4,Low Exposure Routine Service
43-5031,Public Safety Telecommunicators,Office & Admin Support,0.9074452,0.9080319811647904,0.8142558326296723,0.5766924702791165,185,186,1,1,Moderate Exposure Service & Healthcare
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",Office & Admin Support,1.234523,1.235321276967879,0.825546888358067,0.9474889840868983,110,183,73,2,High Exposure Analytical & Office
43-5041,"Meter Readers, Utilities",Office & Admin Support,-0.9723772,-0.9730059539407772,-0.9269525181351462,-0.7596456774579642,516,493,-23,0,Low Exposure Manual & Technical
43-5051,Postal Service Clerks,Office & Admin Support,-0.5186997,-0.5190350959470347,-0.10579564867567331,0.03838467853984394,396,349,-47,4,Low Exposure Routine Service
43-5052,Postal Service Mail Carriers,Office & Admin Support,-1.064715,-1.0654034616224557,-1.4438000031182783,-0.6525152247050295,540,623,83,4,Low Exposure Routine Service
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office & Admin Support,-1.185001,-1.185767241233821,-1.0453188248907082,-0.41809568491299226,572,529,-43,4,Low Exposure Routine Service
43-5061,"Production, Planning, and Expediting Clerks",Office & Admin Support,0.6999103,0.7003628844680277,0.26196859259417465,0.6320460523150926,216,284,68,2,High Exposure Analytical & Office
43-5071,"Shipping, Receiving, and Inventory Clerks",Office & Admin Support,-0.7463213,-0.7468038811521825,-0.5721547615594397,-0.5026536369104485,450,411,-39,0,Low Exposure Manual & Technical
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Office & Admin Support,-0.1860789,-0.1861992159164733,-0.0729761053180382,-0.2839279259120933,335,342,7,1,Moderate Exposure Service & Healthcare
