AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,PRIM_STATE,PCT_RPT,MAJOR_SOC,MAJOR_TITLE
99,U.S.,1,0,Cross-industry,cross-industry,1235,33-2011,Firefighters,detailed,332240,1.1,,,,30.72,63890.0,0.5,16.58,21.24,28.62,37.22,48.72,34490.0,44180.0,59530.0,77410.0,101330.0,,,2024,US,,33,Protective Service Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-5051,Postal Service Clerks,detailed,81170,0.0,,,,24.33,50610.0,0.2,17.2,20.75,23.23,29.21,29.8,35770.0,43170.0,48330.0,60750.0,61980.0,,,2019,,,43,Office and Administrative Support Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,27-1021,Commercial and Industrial Designers,detailed,30450,2.4,,,,39.3,81740.0,1.5,21.0,27.96,36.5,48.15,60.47,43680.0,58170.0,75910.0,100140.0,125780.0,,,2022,US,,27,"Arts, Design, Entertainment, Sports, and Media Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-2012,"Kindergarten Teachers, Except Special Education",detailed,119250,1.2,,,,,65120.0,0.8,,,,,,40620.0,48550.0,60490.0,77200.0,100020.0,True,,2022,US,,25,Educational Instruction and Library Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,75070,1.4,,,,67.62,140650.0,0.4,38.46,48.94,63.15,80.28,100.96,80000.0,101790.0,131350.0,166980.0,210000.0,,,2022,US,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,83580,2.5,,,,15.68,32620.0,0.5,10.28,12.22,14.89,18.49,22.65,21380.0,25420.0,30960.0,38470.0,47110.0,,,2019,,,43,Office and Administrative Support Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2031,Budget Analysts,detailed,47170,1.1,,,,45.15,93920.0,0.5,29.09,34.73,42.27,53.07,64.73,60510.0,72240.0,87930.0,110380.0,134640.0,,,2024,US,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,37-3011,Landscaping and Groundskeeping Workers,detailed,914230,0.6,,,,17.92,37270.0,0.3,13.24,14.61,17.26,20.2,23.33,27550.0,30400.0,35890.0,42020.0,48530.0,,,2022,US,,37,Building and Grounds Cleaning and Maintenance Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",detailed,36500,2.3,,,,42.82,89060.0,3.9,20.25,27.33,36.37,55.29,71.61,42120.0,56840.0,75640.0,115010.0,148950.0,,,2019,,,29,Healthcare Practitioners and Technical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,39-3012,Gambling and Sports Book Writers and Runners,detailed,9970,7.5,,,,13.38,27830.0,1.8,9.3,10.5,11.9,14.92,20.69,19350.0,21850.0,24750.0,31030.0,43030.0,,,2019,,,39,Personal Care and Service Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,39-7010,Tour and Travel Guides,detailed,41180,3.0,,,,18.17,37790.0,1.2,11.25,13.57,16.56,20.61,26.51,23400.0,28220.0,34440.0,42870.0,55130.0,,,2022,US,,39,Personal Care and Service Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,21-1099,"Community and Social Service Specialists, All Other",detailed,97480,1.5,,,,22.55,46900.0,1.0,12.52,16.19,21.05,27.56,35.2,26030.0,33680.0,43790.0,57320.0,73220.0,,,2019,,,21,Community and Social Service Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,33-3011,Bailiffs,detailed,19650,1.0,,,,24.92,51840.0,1.4,11.84,16.6,22.99,32.3,39.86,24620.0,34530.0,47830.0,67180.0,82900.0,,,2019,,,33,Protective Service Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,22010,3.1,,,,70.7,147050.0,2.2,29.03,40.87,61.46,83.14,,60380.0,85020.0,127830.0,172920.0,,,,2022,US,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9097,Signal and Track Switch Repairers,detailed,6880,0.7,,,,37.2,77370.0,0.6,24.05,32.87,39.09,41.72,44.66,50020.0,68370.0,81300.0,86770.0,92900.0,,,2022,US,,49,"Installation, Maintenance, and Repair Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-2021,Atmospheric and Space Scientists,detailed,9900,3.5,,,,45.01,93610.0,1.1,24.28,31.83,40.28,55.48,68.04,50490.0,66210.0,83780.0,115400.0,141520.0,,,2022,US,,19,"Life, Physical, and Social Science Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,37-2019,"Building Cleaning Workers, All Other",detailed,15630,6.9,,,,19.89,41360.0,2.5,12.48,14.95,17.88,22.09,28.26,25950.0,31090.0,37200.0,45940.0,58780.0,,,2022,US,,37,Building and Grounds Cleaning and Maintenance Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,41-3011,Advertising Sales Agents,detailed,106560,1.9,,,,35.22,73260.0,1.4,14.67,19.23,28.1,39.84,63.77,30510.0,39990.0,58450.0,82880.0,132640.0,,,2022,US,,41,Sales and Related Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-2011,Actuaries,detailed,25010,4.3,,,,61.34,127580.0,0.9,34.5,40.77,54.8,74.84,95.82,71760.0,84800.0,113990.0,155670.0,199300.0,,,2022,US,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-9141,Semiconductor Processing Technicians,detailed,23860,3.7,,,,23.25,48370.0,0.5,15.92,17.84,21.49,26.75,34.63,33120.0,37100.0,44690.0,55630.0,72030.0,,,2022,US,,51,Production Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,29-9099,"Healthcare Practitioners and Technical Workers, All Other",detailed,36970,1.9,,,,35.19,73200.0,1.0,17.9,21.76,30.78,43.75,61.22,37220.0,45250.0,64030.0,91000.0,127340.0,,,2024,US,,29,Healthcare Practitioners and Technical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-7073,Wellhead Pumpers,detailed,12970,5.7,,,,26.48,55080.0,1.7,16.01,19.47,26.46,32.66,38.6,33300.0,40500.0,55040.0,67930.0,80280.0,,,2019,,,53,Transportation and Material Moving Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-2043,Hydrologists,detailed,6440,3.6,,,,41.5,86330.0,1.0,24.62,30.6,39.07,50.14,61.25,51220.0,63650.0,81270.0,104280.0,127400.0,,,2019,,,19,"Life, Physical, and Social Science Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,16230,0.4,,,,58.95,122620.0,0.3,27.39,36.98,55.4,77.55,98.07,56970.0,76920.0,115230.0,161290.0,203990.0,,,2024,US,,23,Legal Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-2021,Telephone Operators,detailed,4740,5.6,,,,18.24,37940.0,1.4,11.23,13.32,17.19,22.9,27.7,23360.0,27700.0,35750.0,47630.0,57620.0,,,2019,,,43,Office and Administrative Support Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-4151,Order Clerks,detailed,137180,2.5,,,,17.6,36600.0,0.7,11.18,13.13,16.46,20.99,25.99,23260.0,27300.0,34240.0,43660.0,54050.0,,,2019,,,43,Office and Administrative Support Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,29-1127,Speech-Language Pathologists,detailed,162760,1.7,,,,43.01,89460.0,0.4,27.1,32.07,40.45,50.24,60.91,56370.0,66700.0,84140.0,104500.0,126680.0,,,2022,US,,29,Healthcare Practitioners and Technical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,36630,3.0,,,,14.37,29880.0,0.8,9.1,10.86,13.38,17.03,21.01,18930.0,22580.0,27830.0,35420.0,43700.0,,,2019,,,45,"Farming, Fishing, and Forestry Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed,11400,6.6,,,,33.26,69180.0,1.7,20.37,24.33,30.86,40.76,49.3,42360.0,50610.0,64190.0,84770.0,102550.0,,,2024,US,,49,"Installation, Maintenance, and Repair Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,31-2022,Physical Therapist Aides,detailed,49270,2.3,,,,14.03,29180.0,0.7,9.76,11.21,12.98,15.53,19.11,20310.0,23320.0,27000.0,32310.0,39740.0,,,2019,,,31,Healthcare Support Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,37-3013,Tree Trimmers and Pruners,detailed,47210,5.2,,,,20.44,42510.0,1.6,12.72,15.46,19.22,24.42,30.0,26450.0,32160.0,39980.0,50800.0,62390.0,,,2019,,,37,Building and Grounds Cleaning and Maintenance Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-3091,Anthropologists and Archeologists,detailed,8070,6.2,,,,34.17,71070.0,1.4,21.4,24.63,31.21,39.94,50.24,44510.0,51240.0,64910.0,83080.0,104510.0,,,2024,US,,19,"Life, Physical, and Social Science Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-3031,Surveying and Mapping Technicians,detailed,56720,2.6,,,,27.35,56890.0,0.7,17.75,21.24,24.97,31.37,38.88,36910.0,44180.0,51940.0,65240.0,80870.0,,,2024,US,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2081,Drywall and Ceiling Tile Installers,detailed,91590,1.8,,,,27.83,57880.0,1.2,16.95,20.12,24.25,31.45,46.23,35250.0,41840.0,50440.0,65420.0,96160.0,,,2022,US,,47,Construction and Extraction Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-7121,"Tank Car, Truck, and Ship Loaders",detailed,11620,8.1,,,,22.88,47580.0,2.4,13.51,16.23,20.36,29.23,36.56,28090.0,33760.0,42360.0,60800.0,76050.0,,,2019,,,53,Transportation and Material Moving Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,70770,2.0,,,,27.78,57790.0,1.1,15.99,18.93,24.18,31.61,43.63,33270.0,39360.0,50290.0,65740.0,90760.0,,,2022,US,,19,"Life, Physical, and Social Science Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2043,Floor Sanders and Finishers,detailed,4270,9.0,,,,23.72,49330.0,3.6,14.25,17.11,22.14,29.09,36.23,29640.0,35600.0,46060.0,60500.0,75360.0,,,2022,US,,47,Construction and Extraction Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,29-1128,Exercise Physiologists,detailed,6580,3.8,,,,26.84,55820.0,0.6,18.87,22.15,24.69,30.22,37.49,39250.0,46070.0,51350.0,62850.0,77980.0,,,2022,US,,29,Healthcare Practitioners and Technical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,29-2032,Diagnostic Medical Sonographers,detailed,72790,1.2,,,,36.44,75780.0,0.3,25.37,29.73,35.73,42.85,49.07,52770.0,61830.0,74320.0,89130.0,102060.0,,,2019,,,29,Healthcare Practitioners and Technical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,29-1222,"Physicians, Pathologists",detailed,12320,6.4,,,,121.56,252850.0,2.9,32.3,69.93,,,,67190.0,145450.0,,,,,,2022,US,,29,Healthcare Practitioners and Technical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,27-1019,"Artists and Related Workers, All Other",detailed,7550,7.6,,,,32.57,67750.0,4.0,13.44,18.48,31.01,44.72,52.84,27950.0,38440.0,64490.0,93010.0,109900.0,,,2019,,,27,"Arts, Design, Entertainment, Sports, and Media Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-7099,"Woodworkers, All Other",detailed,6590,6.5,,,,21.03,43730.0,1.4,14.65,17.26,19.82,23.47,29.27,30470.0,35890.0,41220.0,48820.0,60870.0,,,2024,US,,51,Production Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,505210,1.4,,,,51.7,107530.0,0.5,29.52,38.03,49.15,62.69,77.88,61390.0,79100.0,102240.0,130400.0,161980.0,,,2022,US,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-2171,Reinforcing Iron and Rebar Workers,detailed,18870,5.7,,,,26.27,54650.0,2.3,15.83,18.81,23.6,31.04,43.17,32930.0,39130.0,49100.0,64550.0,89790.0,,,2019,,,47,Construction and Extraction Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-4141,New Accounts Clerks,detailed,45170,3.9,,,,20.62,42880.0,0.6,15.75,17.61,19.63,22.71,26.63,32760.0,36620.0,40820.0,47230.0,55400.0,,,2022,US,,43,Office and Administrative Support Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9064,Watch and Clock Repairers,detailed,1300,12.8,,,,30.03,62450.0,3.4,19.19,22.37,29.18,37.18,44.5,39920.0,46530.0,60690.0,77340.0,92570.0,,,2024,US,,49,"Installation, Maintenance, and Repair Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,47-5012,"Rotary Drill Operators, Oil and Gas",detailed,21010,5.8,,,,27.44,57070.0,1.5,15.71,20.42,26.43,33.4,40.18,32670.0,42470.0,54980.0,69480.0,83570.0,,,2019,,,47,Construction and Extraction Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-1042,"Medical Scientists, Except Epidemiologists",detailed,110550,1.6,,,,53.21,110670.0,1.3,27.98,32.11,48.04,63.88,81.85,58190.0,66780.0,99930.0,132870.0,170260.0,,,2022,US,,19,"Life, Physical, and Social Science Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-1082,"Library Science Teachers, Postsecondary",detailed,4100,1.2,,,,,84320.0,0.6,,,,,,53590.0,62130.0,78630.0,97020.0,126200.0,True,,2024,US,,25,Educational Instruction and Library Occupations
