OCC_CODE,OCC_TITLE,YEAR,A_MEAN,wage_eqw,wage_eqf,wage_entropy,wage_cluster
43-1011,First-Line Supervisors of Office and Administrative Support Workers,2022,65510.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
43-2011,"Switchboard Operators, Including Answering Service",2022,37230.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-2021,Telephone Operators,2022,41590.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-2099,"Communications Equipment Operators, All Other",2022,50140.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-3011,Bill and Account Collectors,2022,42820.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-3021,Billing and Posting Clerks,2022,44800.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",2022,47440.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-3041,Gambling Cage Workers,2022,33370.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-3051,Payroll and Timekeeping Clerks,2022,52300.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-3061,Procurement Clerks,2022,46560.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-3071,Tellers,2022,36800.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-3099,"Financial Clerks, All Other",2022,49710.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4011,Brokerage Clerks,2022,59200.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4021,Correspondence Clerks,2022,42560.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4031,"Court, Municipal, and License Clerks",2022,46280.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4041,"Credit Authorizers, Checkers, and Clerks",2022,46180.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4051,Customer Service Representatives,2022,41190.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4061,"Eligibility Interviewers, Government Programs",2022,50020.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4071,File Clerks,2022,39560.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-4081,"Hotel, Motel, and Resort Desk Clerks",2022,30300.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-4111,"Interviewers, Except Eligibility and Loan",2022,41140.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4121,"Library Assistants, Clerical",2022,33980.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-4131,Loan Interviewers and Clerks,2022,46740.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4141,New Accounts Clerks,2022,42880.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4151,Order Clerks,2022,40540.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",2022,46900.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4171,Receptionists and Information Clerks,2022,34600.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,2022,45440.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-4199,"Information and Record Clerks, All Other",2022,45910.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-5011,Cargo and Freight Agents,2022,49740.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-5021,Couriers and Messengers,2022,36250.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-5031,Public Safety Telecommunicators,2022,49370.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",2022,48350.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-5041,"Meter Readers, Utilities",2022,49800.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-5051,Postal Service Clerks,2022,56400.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-5052,Postal Service Mail Carriers,2022,56240.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",2022,52990.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-5061,"Production, Planning, and Expediting Clerks",2022,55080.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-5071,"Shipping, Receiving, and Inventory Clerks",2022,40450.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",2022,41470.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-6011,Executive Secretaries and Executive Administrative Assistants,2022,71060.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
43-6012,Legal Secretaries and Administrative Assistants,2022,54180.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-6013,Medical Secretaries and Administrative Assistants,2022,41260.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2022,43410.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-9021,Data Entry Keyers,2022,37970.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-9022,Word Processors and Typists,2022,44990.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-9031,Desktop Publishers,2022,53390.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-9041,Insurance Claims and Policy Processing Clerks,2022,47840.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",2022,36210.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-9061,"Office Clerks, General",2022,41140.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-9071,"Office Machine Operators, Except Computer",2022,38300.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
43-9081,Proofreaders and Copy Markers,2022,48770.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-9111,Statistical Assistants,2022,54630.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
43-9199,"Office and Administrative Support Workers, All Other",2022,43150.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",2022,58820.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
45-2011,Agricultural Inspectors,2022,49020.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
45-2021,Animal Breeders,2022,48650.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
45-2041,"Graders and Sorters, Agricultural Products",2022,32990.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
45-2091,Agricultural Equipment Operators,2022,39750.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2022,34300.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2022,36290.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
45-2099,"Agricultural Workers, All Other",2022,39180.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
45-4011,Forest and Conservation Workers,2022,36010.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
45-4021,Fallers,2022,58130.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
45-4022,Logging Equipment Operators,2022,46570.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
45-4023,Log Graders and Scalers,2022,44570.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
45-4029,"Logging Workers, All Other",2022,47850.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,2022,77650.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-2011,Boilermakers,2022,69780.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-2021,Brickmasons and Blockmasons,2022,62380.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-2022,Stonemasons,2022,56100.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2031,Carpenters,2022,58210.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2041,Carpet Installers,2022,49520.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2022,54870.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2043,Floor Sanders and Finishers,2022,49330.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2044,Tile and Stone Setters,2022,53680.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2051,Cement Masons and Concrete Finishers,2022,53890.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2053,Terrazzo Workers and Finishers,2022,61680.0,Very Low,Q3,"(60460.0, 87500.0]","(-inf, 61812.893]"
47-2061,Construction Laborers,2022,46350.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",2022,52730.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2072,Pile Driver Operators,2022,70220.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-2073,Operating Engineers and Other Construction Equipment Operators,2022,59420.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2081,Drywall and Ceiling Tile Installers,2022,57880.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2082,Tapers,2022,65880.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-2111,Electricians,2022,65280.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
