AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,PRIM_STATE,PCT_RPT,MAJOR_SOC,MAJOR_TITLE
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,1279390,0.5,,,,38.57,80220.0,0.3,19.2,26.02,35.37,47.67,61.74,39930.0,54110.0,73570.0,99150.0,128420.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,1280700,0.6,,,,38.23,79520.0,0.3,21.39,26.88,34.4,45.36,59.83,44480.0,55900.0,71550.0,94340.0,124450.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,detailed,56320,2.7,,,,30.58,63610.0,1.2,14.98,20.18,27.41,37.82,50.26,31160.0,41980.0,57010.0,78670.0,104540.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2031,Budget Analysts,detailed,51460,1.0,,,,38.61,80300.0,0.4,24.15,29.35,36.8,46.53,56.02,50230.0,61040.0,76540.0,96780.0,116510.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2041,Credit Analysts,detailed,73930,2.2,,,,40.83,84930.0,1.1,20.88,26.6,35.41,48.97,70.11,43430.0,55320.0,73650.0,101860.0,145840.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,210190,1.5,,,,57.35,119290.0,1.1,20.65,27.78,42.24,74.27,,42950.0,57780.0,87850.0,154480.0,,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2053,Insurance Underwriters,detailed,100050,2.3,,,,37.33,77640.0,0.8,20.37,25.72,33.67,45.38,59.77,42360.0,53510.0,70020.0,94390.0,124320.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2061,Financial Examiners,detailed,64550,2.3,,,,44.39,92330.0,1.4,20.91,28.3,38.99,54.82,76.06,43500.0,58860.0,81090.0,114030.0,158200.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,32110,2.8,,,,24.15,50230.0,0.9,15.23,17.91,22.09,28.11,36.9,31670.0,37250.0,45950.0,58470.0,76740.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,308370,1.2,,,,36.64,76200.0,0.6,15.65,21.56,30.42,44.69,63.79,32560.0,44840.0,63270.0,92960.0,132680.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,53760,0.5,,,,29.31,60960.0,0.3,15.91,20.05,26.39,36.95,48.93,33090.0,41700.0,54890.0,76850.0,101780.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,66670,2.8,,,,23.82,49550.0,1.4,10.46,13.68,20.71,30.32,41.86,21750.0,28450.0,43080.0,63070.0,87060.0,,,2019,,,13,Business and Financial Operations Occupations
