OCC_CODE,OCC_TITLE_FELTEN,AIOE,AIOE_z
29-1071,Physician Assistants,0.1059147,0.10598319366011275
29-1081,Podiatrists,0.6279185,0.6283245329639
29-1122,Occupational Therapists,0.1151615,0.11523597284730307
29-1123,Physical Therapists,-0.3581922,-0.35842380821636566
29-1124,Radiation Therapists,-0.2189393,-0.2190808641842794
29-1125,Recreational Therapists,0.2190109,0.2191525241863828
29-1126,Respiratory Therapists,-0.1880507,-0.18817229092634724
29-1127,Speech-Language Pathologists,1.146267,1.1470082086691518
29-1128,Exercise Physiologists,-0.0331901,-0.0332115546072092
29-1131,Veterinarians,-0.0749958,-0.07504428710557863
29-1141,Registered Nurses,0.2294097,0.22955804828247603
29-1151,Nurse Anesthetists,0.2413191,0.24147514916623306
29-1161,Nurse Midwives,0.1966265,0.19675364993391245
29-1171,Nurse Practitioners,0.1900572,0.19018010207796127
29-1181,Audiologists,0.6329063,0.6333155581866655
29-1199,"Health Diagnosing and Treating Practitioners, All Other",0.7109566,0.7114163272520677
29-2011,Medical and Clinical Laboratory Technologists,0.2818067,0.2819889293517337
29-2012,Medical and Clinical Laboratory Technicians,-0.1273315,-0.12741382853688854
29-2021,Dental Hygienists,-0.416508,-0.4167773165137608
29-2031,Cardiovascular Technologists and Technicians,-0.0909526,-0.09101140512847937
29-2032,Diagnostic Medical Sonographers,-0.264054,-0.26422473635587773
29-2033,Nuclear Medicine Technologists,0.0855276,0.08558291090638519
29-2034,Radiologic Technologists and Technicians,-0.5559037,-0.5562631528835131
29-2035,Magnetic Resonance Imaging Technologists,-0.0727627,-0.07280974313329473
29-2041,Emergency Medical Technicians and Paramedics,-0.6863446,-0.6867883988797902
29-2051,Dietetic Technicians,-0.1260282,-0.12610968579402995
29-2052,Pharmacy Technicians,0.0070256,0.007030149761684892
29-2053,Psychiatric Technicians,-0.2203484,-0.2204908753397786
29-2054,Respiratory Therapy Technicians,-0.1060473,-0.10611586569828532
29-2055,Surgical Technologists,-0.4830476,-0.4833599425037216
29-2056,Veterinary Technologists and Technicians,-0.3623179,-0.3625521759860364
29-2057,Ophthalmic Medical Technicians,0.078734,0.07878491801304953
29-2061,Licensed Practical and Licensed Vocational Nurses,-0.5137373,-0.5140694871484759
29-2071,Medical Records and Health Information Technicians,0.5738765,0.5742475882009399
29-2081,"Opticians, Dispensing",0.1013966,0.10146217215584699
29-2091,Orthotists and Prosthetists,0.066577,0.06662005702560818
29-2092,Hearing Aid Specialists,0.5648953,0.5652605807566355
29-2099,"Health Technologists and Technicians, All Other",-0.283854,-0.28403753947764615
29-9011,Occupational Health and Safety Specialists,0.8349371,0.8354769958095632
29-9012,Occupational Health and Safety Technicians,0.3996866,0.39994505312515544
29-9091,Athletic Trainers,-0.3311363,-0.33135041326776693
29-9092,Genetic Counselors,1.527667,1.5286548304187724
29-9099,"Healthcare Practitioners and Technical Workers, All Other",0.2295568,0.22970524340061807
31-1011,Home Health Aides,-0.644942,-0.6453590270348746
31-1013,Psychiatric Aides,-0.496565,-0.4968860831561555
31-1014,Nursing Assistants,-0.9040212,-0.9046057534260498
31-1015,Orderlies,-1.679232,-1.6803178220254744
31-2011,Occupational Therapist Assistants,-0.3153762,-0.3155801224354749
31-2012,Occupational Therapist Aides,-0.7734322,-0.7739323116650084
31-2021,Physical Therapist Assistants,-0.5308535,-0.5311967548652847
31-2022,Physical Therapist Aides,-0.8823265,-0.8828970251489877
31-9011,Massage Therapists,-1.410233,-1.4111448812702934
31-9091,Dental Assistants,-0.5268759,-0.5272165828603783
31-9092,Medical Assistants,0.1497917,0.14988856550727606
31-9093,Medical Equipment Preparers,-0.7308648,-0.7313373866344243
31-9094,Medical Transcriptionists,1.06259,1.0632771012539892
